"start.station.id","start.station.latitude","start.station.longitude","trips_departed","city","start.station.name"
3374,40.799484,-73.955613,8,"NYC","Central Park North & Adam Clayton Powell Blvd"
3383,40.804213,-73.96699104,8,"NYC","Cathedral Pkwy & Broadway"
3400,40.7961535,-73.94782145,8,"NYC","E 110 St & Madison Ave"
3402,40.6902375,-73.99203074,6,"NYC","Court St & State St"
3418,40.6750207,-73.97111473,5,"NYC","Plaza St West & Flatbush Ave"
3423,40.6610633719006,-73.9794525504112,14,"NYC","West Drive & Prospect Park West"
3429,40.6850680730818,-73.9779075980186,7,"NYC","Hanson Pl & Ashland Pl"
3435,40.718822,-73.99596,9,"NYC","Grand St & Elizabeth St"
346,40.73652889,-74.00618026,5,"NYC","Bank St & Hudson St"
3461,40.7148515052625,-74.0112233161926,10,"NYC","Murray St & Greenwich St"
3463,40.7353670556054,-73.9879739284515,5,"NYC","E 16 St & Irving Pl"
3467,40.7249467235942,-74.0016585588455,6,"NYC","W Broadway & Spring St"
350,40.71559509,-73.9870295,11,"NYC","Clinton St & Grand St"
3518,40.808442,-73.9452087,5,"NYC","Lenox Ave & W 126 St"
3521,40.7987859,-73.9523,5,"NYC","Lenox Ave & W 111 St"
3534,40.805159,-73.954692,6,"NYC","Frederick Douglass Blvd & W 117 St"
3538,40.802692,-73.96295,5,"NYC","W 110 St & Amsterdam Ave"
3553,40.801694,-73.957145,8,"NYC","Frederick Douglass Blvd & W 112 St"
3571,40.676368,-73.952918,5,"NYC","Bedford Ave & Bergen St"
358,40.73291553,-74.00711384,13,"NYC","Christopher St & Greenwich St"
359,40.75510267,-73.97498696,6,"NYC","E 47 St & Park Ave"
3591,40.7659,-73.930819,6,"NYC","21 St & 31 Dr"
3593,40.761584,-73.925921,6,"NYC","31 St & Broadway"
3597,40.7577284,-73.9166368,5,"NYC","43 St & Broadway"
3599,40.66314,-73.9605695,6,"NYC","Franklin Ave & Empire Blvd"
361,40.71605866,-73.99190759,7,"NYC","Allen St & Hester St"
363,40.70834698,-74.01713445,10,"NYC","West Thames St"
3641,40.7428687731211,-73.9891862869263,9,"NYC","Broadway & W 25 St"
3654,40.7518695142187,-73.933492898941,5,"NYC","31 St & Northern Blvd"
368,40.73038599,-74.00214988,10,"NYC","Carmine St & 6 Ave"
3687,40.7432268143217,-73.9744978398085,12,"NYC","E 33 St & 1 Ave"
369,40.73224119,-74.00026394,7,"NYC","Washington Pl & 6 Ave"
3697,40.7751595343424,-73.9891869574785,5,"NYC","W 64 St & Thelonious Monk Circle"
3699,40.7636046779586,-73.9891795814037,7,"NYC","W 50 St & 9 Ave"
3707,40.741459,-73.983293,8,"NYC","Lexington Ave & E 26 St"
3708,40.735445,-73.99431,5,"NYC","W 13 St & 5 Ave"
3711,40.7296672939298,-73.9806796610355,13,"NYC","E 13 St & Avenue A"
